id,recipe,category,prep_time_in_minutes,prep_time_note,cook_time_in_minutes,cook_time_note,difficulty,serving,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,directions_step_1,directions_step_2,directions_step_3,directions_step_4,directions_step_5,directions_step_6,directions_step_7,directions_step_8,directions_step_9,directions_step_10,image,image_attribution_name,image_attribution_url,image_creative_commons,chef,source_url,calories,fat_in_grams,carbohydrates_in_grams,protein_in_grams
61,Cheesy Mozzarella Sticks,"{'id': 2, 'category': 'Appetizer and Snacks Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Appetizer_and_Snacks_Recipes-Appetizer_and_Snacks.png'}",10,,20.0,,Medium,8.0,2.0,2.0,2.0,1.0,0.5,1.0,0.5,,,,cups shredded mozzarella cheese,tablespoons coconut flour,whole eggs,pinch of salt,cup shredded parmesan cheese,tablespoons Italian seasoning,teaspoon garlic powder,,,,Pre-heat your oven to 350 degree F,Line a baking sheet with parchment paper,"Take your food processor and add cheese, flour, eggs, salt and process","Scoop the mix onto your lined baking sheet and flatten to 1 inch thickness, forming a square",Bake for 15 minutes,"Remove from oven and sprinkle parmesan cheese, Italian seasoning and garlic powder",Bake for 5 minutes,Remove from oven and let it cool,Serve and enjoy!,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Cheesy_Mozzarella_Sticks-Cheesy_Mozzarella_Sticks.jpg,,,True,,,225,19.0,3.0,12.0
64,Grilled Avocado And Melted Cheese,"{'id': 2, 'category': 'Appetizer and Snacks Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Appetizer_and_Snacks_Recipes-Appetizer_and_Snacks.png'}",5,,4.0,,Easy,6.0,1.0,1.0,1.0,0.25,,,,,,,whole avocado,tablespoon chipotle sauce,tablespoon lime juice,cup parmesan cheese,Salt and pepper to taste,,,,,,"Prepare avocado by slicing half lengthwise, and discard seed",Gently prick skin of avocado with fork,"Set your avocado halves, skin down on small baking sheet, lined with aluminum foil",Top with sauce and drizzle lime juice,Season with salt and pepper,"Sprinkle half parmesan cheese in each cavity, set your broiler to high for 2 minutes",Add rest of the cheese and return to your broiler until cheese melts and avocado slightly browns,Serve hot and enjoy!,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Grilled_Avocado_And_Melted_Cheese-Grilled_Avocado_And_Melted_Cheese.jpg,,,True,,,459,41.0,15.0,7.0
69,Bacon Smoky Doodles,"{'id': 2, 'category': 'Appetizer and Snacks Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Appetizer_and_Snacks_Recipes-Appetizer_and_Snacks.png'}",5,,25.0,,Easy,4.0,24.0,3.0,,6.0,,,,,,,little Smokies (Sausages),"tablespoons BBQ sauce, check for Keto Friendliness",Salt and pepper to taste,slices bacon,,,,,,,Pre-heat your oven to 375 degree F,Cut bacon into quarter pieces,"Put sausage on each one and roll bacon over them, use a toothpick to secure it properly",Bake for 25 minutes and baste with BBQ sauce,Bake for 10 minutes more,Serve and enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Bacon_Smoky_Doodles-Bacon_Smoky_Doodles.jpg,,,True,,,247,18.0,2.0,14.0
74,Hearty Roasted Cauliflower,"{'id': 2, 'category': 'Appetizer and Snacks Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Appetizer_and_Snacks_Recipes-Appetizer_and_Snacks.png'}",5,,30.0,,Easy,8.0,1.0,2.0,2.0,1.0,1.0,1.0,8.0,2.0,,,large cauliflower head,tablespoons melted coconut oil,tablespoons fresh thyme,teaspoon Celtic sea salt,teaspoon fresh ground pepper,head roasted garlic,"ounces burrata cheese, for garnish",tablespoons fresh thyme for garnish,,,Pre-heat your oven to 425 degree F,"Rinse cauliflower and trim, core and sliced",Lay cauliflower evenly on rimmed baking tray,"Drizzle coconut oil evenly over cauliflower, sprinkle thyme leaves",Season with pinch of salt and pepper,Squeeze roasted garlic,"Roast cauliflower until slightly caramelize for about 30 minutes, making sure to turn once",Garnish with fresh thyme leaves and burbata,Enjoy!,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Hearty_Roasted_Cauliflower-Hearty_Roasted_Cauliflower.jpg,,,True,,,129,11.0,6.0,7.0
75,Sausage And Shrimp Skewers,"{'id': 2, 'category': 'Appetizer and Snacks Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Appetizer_and_Snacks_Recipes-Appetizer_and_Snacks.png'}",20,,10.0,,Medium,6.0,3.0,2.0,40.0,1.0,,,,,,,large smoked sausages cut into 30-35 slices in total,"medium-sized zucchinis, cut into 35-40 slices","shrimps, peeled with tail on",batch of low carb barbeque sauce,,,,,,,"Take each skewer and thread 2 pieces of shrimp, two zucchini, and two sausages (one ingredient, then another to make a pattern).",Brush the barbeque sauce over the shrimp and zucchini and cook over a grill pan for 3-4 minutes on each side.,Serve optionally with chopped lettuce and some extra barbeque sauce,,,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Sausage_And_Shrimp_Skewers-Sausage_And_Shrimp_Skewers.jpg,,,True,,,178,12.0,3.0,12.0
76,Fancy Grilled Halloumi Bruschetta,"{'id': 2, 'category': 'Appetizer and Snacks Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Appetizer_and_Snacks_Recipes-Appetizer_and_Snacks.png'}",10,,10.0,,Medium,4.0,2.0,2.0,2.0,1.0,,,,,,,"medium tomatoes, chopped","packages of halloumi cheese (Cyprus grilling cheese), cut into 1 inch thick slices lengthwise",tbsp of olive oil,"tbsp of chopped fresh basil leaves, chopped",,,,,,,"In a bowl, combine the tomatoes with the basil and 1 tbsp of olive oil.",Heat the remaining tsp of olive oil in a grilling pan and add the halloumi cheese slices to grill for around 2 minutes on each side.,"Serve the halloumi slices with the tomato mixture on top, as if you are making a bruschetta",,,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Fancy_Grilled_Halloumi_Bruschetta-Fancy_Grilled_Halloumi_Bruschetta.jpg,,,True,,,134,12.4,1.0,7.0
79,The Faux Cinnamon Rice Pudding,"{'id': 2, 'category': 'Appetizer and Snacks Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Appetizer_and_Snacks_Recipes-Appetizer_and_Snacks.png'}",15,,0.0,,Medium,4.0,1.25,1.0,1.0,1.0,2.0,,,,,,cups coconut cream,vanilla extract,cinnamon powder,cup mashed tofu,oz fresh strawberries,,,,,,Pour coconut cream into a bowl and whisk until a soft peak forms. Mix in vanilla and cinnamon.,"Lightly fold in tofu and refrigerate for 10-15 minutes to set. Spoon into Serves glasses, top with the strawberries, and serve",,,,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/The_Faux_Cinnamon_Rice_Pudding-The_Faux_Cinnamon_Rice_Pudding.jpg,,,True,,,255,20.0,3.0,6.0
80,Almond Flour English Cake,"{'id': 2, 'category': 'Appetizer and Snacks Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Appetizer_and_Snacks_Recipes-Appetizer_and_Snacks.png'}",10,,15.0,,Medium,4.0,2.0,2.0,0.5,1.0,3.0,,,,,,tbsp flax seed powder + 6 tbsp water,tbsp almond flour,tsp baking powder,pinch salt,tbsp vegan butter,,,,,,"In a bowl, mix flax seed with water until evenly combined, and leave to soak for 5 minutes.","In another bowl, combine almond flour, baking powder, and salt. Then, pour in the flax egg and whisk ag","Let the batter sit for 5 minutes to set. Melt the vegan butter in a frying pan over medium heat, and add the mixture in four dollops.","Fry until golden brown on one side, then flip the bread with a spatula and fry further until golden brown.",Serve with tea,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Almond_Flour_English_Cake-Almond_Flour_English_Cake.jpg,,,True,,,161,13.0,2.0,7.0
85,Roasted Brussels And Bacon,"{'id': 2, 'category': 'Appetizer and Snacks Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Appetizer_and_Snacks_Recipes-Appetizer_and_Snacks.png'}",10,,40.0,,Medium,4.0,24.0,0.25,0.25,6.0,,,,,,,oz brussels sprouts,cup fish sauce,cup bacon grease,strips bacon Pepper to taste,,,,,,,De-stem and quarter the brussels sprouts.,Mix them with the bacon grease and fish sauce.,Slice the bacon into small strips and cook.,Add the bacon and pepper to the sprouts.,Spread onto a greased pan and cook at 450°F/230°C for 35 minutes.,Stir every 5 minutes or so.,Broil for a few more minutes and serve.,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Roasted_Brussels_And_Bacon-Roasted_Brussels_And_Bacon.jpg,,,True,,,130,9.0,5.0,7.0
86,Parmesan Garlic Cauliflower,"{'id': 2, 'category': 'Appetizer and Snacks Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Appetizer_and_Snacks_Recipes-Appetizer_and_Snacks.png'}",10,,50.0,,Medium,4.0,0.75,1.0,2.0,,,,,,,,cup cauliflower florets 2 tbsp butter,"clove garlic, sliced thinly",tbsp shredded parmesan 1 pinch of salt,,,,,,,,Preheat your oven to 350°F/175°C.,"On low heat, melt the butter with the garlic for 5-10 minutes.",Strain the garlic in a sieve.,"Add the cauliflower, parmesan, and salt",Bake for 20 minutes or until golden.,Serve and enjoy once done!,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Parmesan_Garlic_Cauliflower-Parmesan_Garlic_Cauliflower.jpg,,,True,,,180,18.0,6.0,7.0
90,Asparagus And Baked Pork,"{'id': 2, 'category': 'Appetizer and Snacks Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Appetizer_and_Snacks_Recipes-Appetizer_and_Snacks.png'}",10,,20.0,,Easy,4.0,1.0,0.5,1.0,,,,,,,,"pound (454 g) asparagus, tough ends removed",cup roughly ground pork rinds,cup ranch dressing Pinch of sea sal,,,,,,,,"Arrange the asparagus spears in a casserole dish. Spread the pork rinds and ranch dressing over the asparagus, then season with sea salt.",Place the casserole dish in the preheated oven and bake for 18 minutes or until lightly browned.,Transfer them onto a platter and serve warm.,,,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Asparagus_And_Baked_Pork-Asparagus_And_Baked_Pork.jpg,,,True,,,303,7.0,298.0,8.0
94,Prosciutto Spinach Salad,"{'id': 2, 'category': 'Appetizer and Snacks Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Appetizer_and_Snacks_Recipes-Appetizer_and_Snacks.png'}",10,,0.0,,Medium,4.0,2.0,0.33,1.0,1.0,0.25,,,,,,cups baby spinach,lb prosciutto,cantaloupe,avocado,"cup diced red onion handful of raw, unsalted walnuts How To",,,,,,Put a cup of spinach on each plate.,"Top with the diced prosciutto, cubes of balls of melon, slices of avocado, a handful of red onion, and a few walnuts.","Add some freshly ground pepper, if you like.",Serve!,,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Prosciutto_Spinach_Salad-Prosciutto_Spinach_Salad.jpg,,,True,,,199,18.0,2.0,7.0
107,1 Minute Keto Muffin,"{'id': 2, 'category': 'Appetizer and Snacks Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Appetizer_and_Snacks_Recipes-Appetizer_and_Snacks.png'}",10,,1.0,,Easy,4.0,1.0,2.0,,,,,,,,,whole egg,teaspoon coconut flour,A pinch of baking soda,A pinch salt,"Coconut oil, for grease",,,,,,Grease ramekin dish with coconut oil.,Keep it aside.,Take a bowl and add ingredients and mix well.,Pour batter into a ramekin.,Place into microwave for 1 minute on HIGH.,Serve and enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/1_Minute_Keto_Muffin-1_Minute_Keto_Muffin.jpg,,,True,,,102,5.0,3.0,7.0
108,Chilled No-Bake Lemon Cheesecake,"{'id': 2, 'category': 'Appetizer and Snacks Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Appetizer_and_Snacks_Recipes-Appetizer_and_Snacks.png'}",10,+ 60 minutes Chill Time,0.0,,Medium,4.0,8.0,2.0,1.0,,,,,,,,ounces cream cheese,ounces full-fat cream,tablespoon lemon juice,Few drops of vanilla extract,"Peel ½ lemon, grated",,,,,,"Add cream, cream cheese, and mix well.",Add the remaining ingredients.,Transfer the mixture to your fridge.,Keep it for 1 hour in the fridge.,Serve and enjoy!,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Chilled_No-Bake_Lemon_Cheesecake-Chilled_No-Bake_Lemon_Cheesecake.jpg,,,True,,,220,17.0,2.0,6.0
111,Eggplant Fries,"{'id': 2, 'category': 'Appetizer and Snacks Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Appetizer_and_Snacks_Recipes-Appetizer_and_Snacks.png'}",10,,15.0,,Medium,4.0,2.0,2.0,2.0,2.0,,,,,,,whole eggs,cups almond flour,"tablespoons coconut oil, spray","eggplant, peeled and cut thinly",Salt and pepper to taste,,,,,,Preheat your oven to 400 degrees Fahrenheit.,Take a bowl and mix with salt and black pepper in it.,Take another bowl and beat eggs until frothy.,Dip the eggplant pieces into eggs.,Then coat them with a flour mixture.,Add another layer of flour and egg.,"Then, take a baking sheet and grease with coconut oil on top.",Bake for about 15 minutes.,Serve and enjoy!,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Eggplant_Fries-Eggplant_Fries.jpg,,,True,,,212,15.0,4.0,7.0
112,Stuffed Parmesan Cheese Avocado,"{'id': 2, 'category': 'Appetizer and Snacks Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Appetizer_and_Snacks_Recipes-Appetizer_and_Snacks.png'}",10,,15.0,,Medium,4.0,1.0,1.0,1.0,0.25,,,,,,,whole avocado,tablespoon chipotle sauce,tablespoon lime juice,cup parmesan cheese,Salt and pepper to taste,,,,,,Prepare avocado by slicing half lengthwise and discard the seed.,Gently prick the skin of the avocado with a fork.,"Set your avocado halves, skin down on the small baking sheet lined with aluminum foil.",Top with sauce and drizzle lime juice.,Season with salt and pepper.,"Sprinkle half parmesan cheese in each cavity, set your broiler to high for 2 minutes.",Add rest of the cheese and return to your broiler until cheese melts and avocado slightly browns.,Serve hot and enjoy!,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Stuffed_Parmesan_Cheese_Avocado-Stuffed_Parmesan_Cheese_Avocado.jpg,,,True,,,41,41.0,7.0,7.0
124,Majestic Beef And Tomato Squash,"{'id': 3, 'category': 'Beef Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Beef_Recipes-Beef.png'}",10,,60.0,,Medium,4.0,2.0,,3.0,1.0,28.0,1.0,0.25,0.5,1.0,1.0,"pounds acorn squash, pricked with fork",Salt and pepper to taste,"garlic cloves, peeled and minced","onion peeled and chopped, portobello mushroom sliced","ounces canned tomatoes, diced",teaspoon dried oregano,teaspoon cayenne pepper,teaspoon dried thyme,pound ground beef,"green bell pepper, seeded and chopped",Pre-heat your oven to 400 degree F,"Take acorn squash and transfer to lined baking sheet, bake for 40 minutes",Cut in half and let it cool,Deseed them,"Take a pan and place it over medium-high heat, add meat, garlic, onion and mushroom, stir cook until brown","Add salt, pepper, thyme, oregano, cayenne, tomatoes, green pepper and stir",Cook for 10 minutes,Stuff squash halves with beef mix,Transfer to oven and bake for 10 minutes more,Serve and enjoy!,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Majestic_Beef_And_Tomato_Squash-Majestic_Beef_And_Tomato_Squash.jpg,,,True,,,260,7.0,4.0,10.0
131,Satisfying Low-Carb Beef Liver Salad,"{'id': 3, 'category': 'Beef Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Beef_Recipes-Beef.png'}",10,,0.0,,Easy,3.0,4.0,1.0,1.0,1.0,2.0,2.0,,,0.5,,"ounces beef liver, cooked","egg, hard boiled",ounce dried mushroom,"whole onion, minced",ounces mayonnaise,ounces olive oil,Salt and pepper to taste,Dill for serving,"a red bell pepper, sliced",,Cut mushroom and livers into stripsand transfer to a bowl,"Peel the egg and slice it, transfer to bowl",Add remaining ingredients and toss well,Sprinkle with dill and serve!,,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Satisfying_Low-Carb_Beef_Liver_Salad-Satisfying_Low-Carb_Beef_Liver_Salad.jpg,,,True,,,300,26.0,5.0,10.0
149,Spicy Paprika Lamb Chops,"{'id': 4, 'category': 'Pork And Other Red Meat', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Pork_And_Other_Red_Meat-Pork_And_Other_Red_Meat.png'}",10,,10.0,,Meduim,4.0,2.0,,3.0,0.75,1.0,,,,,,"lamb racks, cut into chops",Salt and pepper to taste,tablespoons paprika,cup cumin powder,teaspoon chili powder,,,,,,"Take a bowl and add paprika, cumin, chili, salt, pepper and stir",Add lamb chops and rub the mixture,"Heat grill over medium-temperature and add lamb chops, cook for 5 minutes","Flip and cook for 5 minutes more, flip again","Cook for 2 minutes, flip and cook for 2 minutes more",Serve and enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Spicy_Paprika_Lamb_Chops-Spicy_Paprika_Lamb_Chops.jpg,,,True,,,200,5.0,4.0,8.0
150,Simple Lamb Riblets And Mini Pesto,"{'id': 4, 'category': 'Pork And Other Red Meat', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Pork_And_Other_Red_Meat-Pork_And_Other_Red_Meat.png'}",60,,120.0,,Difficult,4.0,1.0,1.0,1.05,0.33,1.0,5.0,,2.0,5.0,,cup parsley,cup mint,"onions, peeled and chopped",cup pistachios,teaspoon lemon zest,tablespoons avocado oil,"Salt, to taste",pounds lamb riblets,"garlic cloves, peeled and minced",Juice of 1 orange,"Add parsley, mint, 1 onion, pistachios, lemon zest, salt, and avocado oil to Food  processor",Rub lamb with mix,Transfer to bowl and let it refrigerate for 1 hour,Transfer lamb to baking dish,"Add garlic and ½ onion, drizzle orange juice",Bake for 2 hours at 250-degree F,Divide between plates and serve,Enjoy!,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Simple_Lamb_Riblets_And_Mini_Pesto-Simple_Lamb_Riblets_And_Mini_Pesto.jpg,,,True,,,200,4.0,4.0,7.0
151,Terrific Jalapeno Bacon Bombs,"{'id': 4, 'category': 'Pork And Other Red Meat', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Pork_And_Other_Red_Meat-Pork_And_Other_Red_Meat.png'}",15,,10.0,,Easy,2.0,12.0,16.0,6.0,2.0,1.0,,,,,,large jalapeno peppers,bacon strips,ounce of full fat cream cheese,teaspoon of garlic powder,teaspoon of chili powder,,,,,,Pre-heat your oven to 350-degree Fahrenheit,Place a wire rack over a roasting pan and keep it on the side,"Make a slit lengthways across jalapeno pepper and scrape out the seeds, discard them","Place a nonstick skillet over high heat and add half of your bacon strip, cook until  crispy; Drain them",Chop the cooked bacon strips and transfer to large bowl; Add cream cheese and mix,Season the cream cheese and bacon mix with garlic and chili powder; Mix well,Stuff the mix into the jalapeno peppers with and wrap raw bacon strip all around,Arrange the stuffed wrapped jalapeno on prepare wire rack,Roast for 10 minutes,Transfer to cooling rack and serve!,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Terrific_Jalapeno_Bacon_Bombs-Terrific_Jalapeno_Bacon_Bombs.jpg,,,True,,,209,9.0,15.0,9.0
158,Simple Pork Stuffed Bell Peppers,"{'id': 4, 'category': 'Pork And Other Red Meat', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Pork_And_Other_Red_Meat-Pork_And_Other_Red_Meat.png'}",10,,26.0,,Easy,4.0,1.0,1.0,1.0,6.0,1.0,4.0,,,1.0,,teaspoon Cajun spic,"pound pork, ground",tablespoons tomato paste,"garlic cloves, minced","yellow onion, chopped","big bell peppers, tops cut off and deseeded",Pinch of salt,Black pepper as needed,cup cheddar cheese,,Take a pan and place it over medium-high heat,Add oil and let the oil heat up,"Add garlic, onion and cook for 4 minutes",Add meat and gently stir cook for 10 minutes,Season with salt and pepper according to your desire,Add Cajun seasoning and tomato paste,Stir cook for 3 minutes more,"Stuff bell peppers with the mix and transfer to a pre-heated grill, top with cheese",Grill for 3 minutes (each side),Divide between plates and serve; Enjoy!,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Simple_Pork_Stuffed_Bell_Peppers-Simple_Pork_Stuffed_Bell_Peppers.jpg,,,True,,,140,3.0,3.0,10.0
180,Low- Carb Butternut Chicken,"{'id': 5, 'category': 'Poultry Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Poultry_Recipes-Poultry.png'}",15,,30.0,,Medium,4.0,0.5,6.0,3.0,,,,,,,,pound Nitrate free bacon,"chicken thighs, boneless and skinless","cups butternut squash, cubed",Extra virgin olive oil,Fresh chopped sage,Salt and pepper as needed,,,,,Prepare your oven by pre-heating it to 425 degree F,"Take a large skillet and place it over medium-high heat, add bacon and fry until  crispy","Take a bacon and place it on the side, crumbled the bacon","Add cubed butternut squash in the bacon grease and Saute, season with salt and  pepper","Once the squash is tender, remove skillet and transfer to plate","Add coconut oil to the skillet and add chicken thigh, cook for 10 minutes",Season with salt and pepper,Remove skillet from stove and transfer to oven,"Bake for 12-15 minutes, top with crumbled bacon and sage",Enjoy!,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Low-_Carb_Butternut_Chicken-Low-_Carb_Butternut_Chicken.jpg,,,True,,,323,19.0,8.0,12.0
182,Chicken Ham And Turnip Pasta,"{'id': 5, 'category': 'Poultry Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Poultry_Recipes-Poultry.png'}",10,,10.0,,Easy,4.0,6.0,1.0,1.0,,4.0,,,,,,"slices chicken ham, chopped","lb turnips, spiralized",tbsp smoked paprika,Salt and black pepper to taste,tbsp olive oil,,,,,,"Preheat oven to 450 F. Pour turnips into a bowl; add in the paprika, salt, and pepper;  toss to coat.","Spread the mixture on a greased baking sheet, scatter ham on top, and drizzle with  olive oil.",Bake for 10 minutes until golden brown,,,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Chicken_Ham_And_Turnip_Pasta-Chicken_Ham_And_Turnip_Pasta.jpg,,,True,,,191,14.0,10.0,9.0
211,Lovely Molten Tuna Bites,"{'id': 6, 'category': 'Fish and Seafood Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Fish_and_Seafood_Recipes-Fish_and_Seafood_.png'}",10,,10.0,,Easy,4.0,10.0,0.5,1.0,0.25,0.25,0.5,0.25,,0.5,,ounces drained tuna,cup Keto-Friendly mayonnaise,"medium avocado, cubed",cup parmesan cheese,cup almond flour,teaspoon garlic powder,teaspoon onion powder,Salt and pepper to taste,cup coconut oil,,Add the listed ingredients (except coconut oil) and avocado to a bowl and mix well,Take cubed avocado and fold them into tuna,Form balls from the mixture and dredge them in almond flour,"Take a pan and place it over medium heat, add oil and let it heat up",Add tuna balls and fry until brown,Serve hot!,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Lovely_Molten_Tuna_Bites-Lovely_Molten_Tuna_Bites.jpg,,,True,,,134,11.0,2.0,7.0
214,Healthy Tuna Croquettes,"{'id': 6, 'category': 'Fish and Seafood Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Fish_and_Seafood_Recipes-Fish_and_Seafood_.png'}",4,,9.0,,Easy,4.0,1.0,1.0,8.0,2.0,,1.0,,,,,"can tuna, drained",whole large egg,"tablespoons parmesan cheese, grated",tablespoons flax meal,Salt and pepper to taste,"tablespoons onion, minced",,,,,Add all of the ingredients to a blender (except flax meal) and pulse them mixture into  a crunchy texture,Form patties using the mixture,Dip both sides of the patties in flax meals and fry them in hot oil until both sides are  browned well,,,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Healthy_Tuna_Croquettes-Healthy_Tuna_Croquettes.jpg,,,True,,,105,5.0,2.0,14.0
217,Hungry Tuna Bites,"{'id': 6, 'category': 'Fish and Seafood Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Fish_and_Seafood_Recipes-Fish_and_Seafood_.png'}",10,,10.0,,Easy,2.0,10.0,0.25,1.0,0.25,0.3,0.5,0.25,,0.5,,"ounces Canned Tuna, drained",cup Keto Friendly mayonnaise,"medium avocado, cubed",cup parmesan cheese,cup almond flour,teaspoon garlic powder,teaspoon onion powder,Salt and pepper as needed,cup coconut oil,,Take a mixing bowl and add the listed ingredients except coconut oil and avocado,Take the cubed avocado and carefully fold them in the tuna mix,Mix well and turn the mixture into balls,Roll the balls into almond flour,Take a pan over medium heat and add coconut oil,Allow the oil to heat up,Add tuna balls and cook them well until you have a brown texture,Serve and enjoy!,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Hungry_Tuna_Bites-Hungry_Tuna_Bites.jpg,,,True,,,134,11.0,2.0,7.0
219,Simple Baked Shrimp With Béchamel Sauce,"{'id': 6, 'category': 'Fish and Seafood Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Fish_and_Seafood_Recipes-Fish_and_Seafood_.png'}",10,,,,Easy,4.0,,1.0,4.0,1.0,,,,,,,ounces shrimp,ounce mozzarella,ounces béchamel sauce (recipe provided),tablespoons ghee,,,,,,,Cut boiled shrimp and transfer them to baking dish,Pour sauce on top,Bake for 5-7 minutes,Serve and enjoy!,,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Simple_Baked_Shrimp_With_B%C3%A9chamel_Sauce-Simple_Baked_Shrimp_With_B%C3%A9chamel_Sauce.jpg,,,True,,,150,10.0,2.0,14.0
224,Grilled Lime Shrimp,"{'id': 6, 'category': 'Fish and Seafood Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Fish_and_Seafood_Recipes-Fish_and_Seafood_.png'}",25,,5.0,,Easy,8.0,1.0,1.0,0.5,3.0,,,,,,,"pound medium shirmp, peeled and deveined","lime, juiced",cup olive oil,tablespoons Cajun seasoning,,,,,,,"Take a re-sealable zip bag and add lime juice, Cajun seasoning, olive oil","Add shrimp and shake it well, let it marinate for 20 minutes",Pre-heat your outdoor grill to medium heat,Lightly grease the grate,Remove shrimp from marinade and cook for 2 minutes per side,Serve and enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Grilled_Lime_Shrimp-Grilled_Lime_Shrimp.jpg,,,True,,,188,3.0,1.2,13.0
